"Name","MedianAge","MedianAge2000","Population","AnnualPopulationGrowth","GenderInequalityIndex","AdolescentFertilityRate","GrossNationalIncomePerCapita","MeanYearsSchooling","LifeExpectancyAtBirth","GDP","number","continent","religion"
"Norway",38.7,36.9,5,0.7,5,7.4,48688,12.6,81.3,232.7,1,"Europe and Central Asia","Christianity"
"Australia",36.9,35.4,22.9,1.3,17,12.5,34340,12,82,781.5,2,"East Asia and the Pacific","Christianity"
"United States",36.9,35.3,315.8,0.9,42,27.4,43480,13.3,78.7,13238.3,3,"North America","Christianity"
"Netherlands",40.7,37.3,16.7,0.3,1,4.3,37282,11.6,80.8,621.9,4,"Europe and Central Asia","Christianity"
"Germany",44.3,39.9,82,-0.2,6,6.8,35431,12.2,80.6,2814.4,5,"Europe and Central Asia","Christianity"
"New Zealand",36.6,34.3,4.5,1,31,18.6,24358,12.5,80.8,108.4,6,"East Asia and the Pacific","Christianity"
"Ireland",34.7,32.5,4.6,1.1,19,8.8,28671,11.6,80.7,159.9,7,"Europe and Central Asia","Christianity"
"Sweden",40.7,39.4,9.5,0.6,2,6.5,36143,11.7,81.6,331.3,8,"Europe and Central Asia","Christianity"
"Switzerland",41.4,38.6,7.7,0.4,3,3.9,40527,11,82.5,300.3,9,"Europe and Central Asia","Christianity"
"Japan",44.7,41.3,126.4,-0.1,21,6,32545,11.6,83.6,3918.9,10,"East Asia and the Pacific","Buddhism"
"Canada",39.9,36.8,34.7,0.9,18,11.3,35369,12.3,81.1,1231.6,11,"North America","Christianity"
"Korea (Republic of)",37.9,32.1,48.6,0.4,27,5.8,28231,11.6,80.7,1371,12,"East Asia and the Pacific","Buddhism"
"Hong Kong, China (SAR)",41.8,36.5,7.2,1,NA,4.2,45598,10,83,310,13,"East Asia and the Pacific","Christianity"
"Iceland",34.8,32.8,0.3,1.2,10,11.6,29176,10.4,81.9,10.7,14,"Europe and Central Asia","Christianity"
"Denmark",40.6,38.4,5.6,0.3,3,5.1,33518,11.4,79,180.6,15,"Europe and Central Asia","Christianity"
"Israel",30.1,28,7.7,1.7,25,14,26224,11.9,81.9,207.5,16,"Arab States","Judaism"
"Belgium",41.2,39.1,10.8,0.3,12,11.2,33429,10.9,80,364.7,17,"Europe and Central Asia","Christianity"
"Austria",41.8,38.2,8.4,0.2,14,9.7,36438,10.8,81,306.1,18,"Europe and Central Asia","Christianity"
"Singapore",37.6,34.1,5.3,1.1,13,6.7,52613,10.1,81.2,277.8,19,"East Asia and the Pacific","Christianity"
"France",39.9,37.7,63.5,0.5,9,6,30277,10.6,81.7,1951.2,20,"Europe and Central Asia","Christianity"
"Finland",42,39.3,5.4,0.3,6,9.3,32510,10.3,80.1,173.8,21,"Europe and Central Asia","Christianity"
"Slovenia",41.7,38,2,0.2,8,4.5,23999,11.7,79.5,51.2,22,"Europe and Central Asia","Christianity"
"Spain",40.1,37.6,46.8,0.6,15,10.7,25947,10.4,81.6,1251.3,23,"Europe and Central Asia","Christianity"
"Liechtenstein",NA,NA,0,0.8,NA,6,84880,10.3,79.8,NA,24,"Europe and Central Asia","Christianity"
"Italy",43.2,40.2,61,0.2,11,4,26158,10.1,82,1645,25,"Europe and Central Asia","Christianity"
"Luxembourg",38.9,37.3,0.5,1.4,26,8.4,48285,10.1,80.1,35.4,26,"Europe and Central Asia","Christianity"
"United Kingdom",39.8,37.7,62.8,0.6,34,29.7,32538,9.4,80.3,2034.2,27,"Europe and Central Asia","Christianity"
"Czech Republic",39.4,37.4,10.6,0.3,20,9.2,22067,12.3,77.8,252.8,28,"Europe and Central Asia","Christianity"
"Greece",41.4,38.3,11.4,0.2,23,9.6,20511,10.1,80,255,29,"Europe and Central Asia","Christianity"
"Brunei Darussalam",28.9,25.8,0.4,1.7,NA,22.7,45690,8.6,78.1,18.2,30,"East Asia and the Pacific","Islam"
"Cyprus",34.2,31.8,1.1,1.1,22,5.5,23825,9.8,79.8,21,31,"Europe and Central Asia","Christianity"
"Malta",39.5,36.1,0.4,0.3,39,11.8,21184,9.9,79.8,9.6,32,"Europe and Central Asia","Christianity"
"Andorra",NA,NA,0.1,1.5,NA,7.3,33918,10.4,81.1,NA,33,"Europe and Central Asia","Christianity"
"Estonia",39.7,37.9,1.3,-0.1,29,17.2,17402,12,75,24,34,"Europe and Central Asia","Christianity"
"Slovakia",36.9,33.6,5.5,0.2,32,16.7,19696,11.6,75.6,112.9,35,"Europe and Central Asia","Christianity"
"Qatar",31.6,30.3,1.9,2.9,117,15.5,87478,7.3,78.5,145.8,36,"Arab States","Islam"
"Hungary",39.8,38.5,9.9,-0.2,42,13.6,16088,11.7,74.6,172.5,37,"Europe and Central Asia","Christianity"
"Barbados",37.5,33.6,0.3,0.2,61,40.8,17308,9.3,77,4.8,38,"Europe and Central Asia","Christianity"
"Poland",38,35.3,38.3,0,24,12.2,17776,10,76.3,691.2,39,"Europe and Central Asia","Christianity"
"Chile",32.1,28.8,17.4,0.9,66,56,14987,9.7,79.3,263.7,40,"Latin America and the Caribbean","Christianity"
"Lithuania",39.3,35.9,3.3,-0.4,28,16.1,16858,10.9,72.5,54.1,41,"Europe and Central Asia","Christianity"
"United Arab Emirates",30.1,28.1,8.1,2.2,40,23.4,42716,8.9,76.7,333.7,42,"Arab States","Islam"
"Portugal",41,37.7,10.7,0,16,12.5,19907,7.7,79.7,226.8,43,"Europe and Central Asia","Christianity"
"Latvia",40.2,38.1,2.2,-0.4,36,12.8,14724,11.5,73.6,30.6,44,"Europe and Central Asia","Christianity"
"Argentina",30.4,27.9,41.1,0.9,71,54.2,15347,9.3,76.1,631.9,45,"Latin America and the Caribbean","Christianity"
"Seychelles",NA,NA,0.1,0.3,NA,47.6,22615,9.4,73.8,2,46,"East Asia and the Pacific","Christianity"
"Croatia",41.5,39.1,4.4,-0.2,33,12.8,15419,9.8,76.8,71.2,47,"Europe and Central Asia","Christianity"
"Bahrain",30.1,27.4,1.4,2.1,45,14.8,19154,9.4,75.2,26.9,48,"Arab States","Islam"
"Bahamas",30.9,27,0.4,1.1,53,28.3,27401,8.5,75.9,9.8,49,"Latin America and the Caribbean","Christianity"
"Belarus",38.3,36.3,9.5,-0.3,NA,20.5,13385,11.5,70.6,125,50,"Europe and Central Asia","Christianity"
"Uruguay",33.7,31.6,3.4,0.3,69,59,13333,8.5,77.2,44.9,51,"Latin America and the Caribbean","Christianity"
"Montenegro",35.9,33.5,0.6,0.1,NA,14.8,10471,10.5,74.8,6.6,52,"Europe and Central Asia","Christianity"
"Palau",NA,NA,0,0.8,NA,12.7,11463,12.2,72.1,0.3,53,"East Asia and the Pacific","Christianity"
"Kuwait",28.2,28.3,2.9,2.4,47,14.4,52793,6.1,74.7,135.1,54,"Arab States","Islam"
"Russian Federation",37.9,36.5,142.7,-0.1,51,23.2,14461,11.7,69.1,2101.8,55,"Europe and Central Asia","Christianity"
"Romania",38.5,34.7,21.4,-0.2,55,28.8,11011,10.4,74.2,233.3,56,"Europe and Central Asia","Christianity"
"Bulgaria",41.6,39.7,7.4,-0.7,38,36.2,11474,10.6,73.6,88.2,57,"Europe and Central Asia","Christianity"
"Saudi Arabia",25.9,20.9,28.7,2.1,145,22.1,22616,7.8,74.1,601.8,58,"Arab States","Islam"
"Cuba",38.4,32.8,11.2,0,63,43.9,5539,10.2,79.3,NA,59,"Latin America and the Caribbean","Christianity"
"Panama",27.3,24.8,3.6,1.5,108,75.9,13519,9.4,76.3,49.2,60,"Latin America and the Caribbean","Christianity"
"Mexico",26.6,23.4,116.1,1.1,72,65.5,12947,8.5,77.1,1466.6,61,"Latin America and the Caribbean","Christianity"
"Costa Rica",28.4,24.8,4.8,1.4,62,61.9,10863,8.4,79.4,50.7,62,"Latin America and the Caribbean","Christianity"
"Grenada",25,21.8,0.1,0.4,NA,35.4,9257,8.6,76.1,1,63,"Latin America and the Caribbean","Christianity"
"Libya",25.9,21.9,6.5,0.8,36,2.6,13765,7.3,75,96.2,64,"Arab States","Islam"
"Malaysia",26,23.8,29.3,1.6,42,9.8,13676,9.5,74.5,394.6,65,"East Asia and the Pacific","Buddhism"
"Serbia",37.6,35.7,9.8,-0.1,NA,19.2,9533,10.2,74.7,71.2,66,"Europe and Central Asia","Christianity"
"Antigua and Barbuda",NA,NA,0.1,1,NA,49.1,13883,8.9,72.8,1.3,67,"Latin America and the Caribbean","Christianity"
"Trinidad and Tobago",30.8,26.9,1.4,0.3,50,31.6,21941,9.2,70.3,30.6,68,"Latin America and the Caribbean","Christianity"
"Kazakhstan",29,27.7,16.4,1,51,25.5,10451,10.4,67.4,191.5,69,"Europe and Central Asia","Islam"
"Albania",30,27.4,3.2,0.3,41,14.9,7822,10.4,77.1,25.3,70,"Europe and Central Asia","Islam"
"Venezuela (Bolivarian Republic of)",26.1,23.3,29.9,1.5,93,87.3,11475,7.6,74.6,329.6,71,"Latin America and the Caribbean","Christianity"
"Dominica",NA,NA,0.1,0,NA,18.9,10977,7.7,77.6,0.8,72,"Latin America and the Caribbean","Christianity"
"Georgia",37.3,34.4,4.3,-0.6,81,39.5,5005,12.1,73.9,21.6,73,"Europe and Central Asia","Christianity"
"Lebanon",29.1,25.6,4.3,0.7,78,15.4,12364,7.9,72.8,54.9,74,"Europe and Central Asia","Islam"
"Saint Kitts and Nevis",NA,NA,0.1,1.2,NA,33.2,12460,8.4,73.3,0.7,75,"Latin America and the Caribbean","Christianity"
"Iran (Islamic Republic of)",27.1,20.8,75.6,1,107,25,10695,7.8,73.2,765.2,76,"Arab States","Islam"
"Peru",25.6,23,29.7,1.1,73,48.7,9306,8.7,74.2,266,77,"Latin America and the Caribbean","Christianity"
"The former Yugoslav Republic of Macedonia",35.9,32.5,2.1,0.1,30,17.8,9377,8.2,75,19.5,78,"Europe and Central Asia","Christianity"
"Ukraine",39.3,37.7,44.9,-0.5,57,26.1,6428,11.3,68.8,290.6,79,"Europe and Central Asia","Christianity"
"Mauritius",32.4,28.6,1.3,0.5,70,31.8,13300,7.2,73.5,16.4,80,"East Asia and the Pacific","Islam"
"Bosnia and Herzegovina",39.4,35.1,3.7,-0.2,NA,13.4,7713,8.3,75.8,28.5,81,"Europe and Central Asia","Christianity"
"Azerbaijan",29.5,25.6,9.4,1.2,54,31.4,8153,11.2,70.9,81.5,82,"Europe and Central Asia","Islam"
"Saint Vincent and the Grenadines",27.9,24.2,0.1,0,NA,54.1,9367,8.6,72.5,1,83,"Latin America and the Caribbean","Christianity"
"Oman",25.3,21,2.9,1.9,59,9.3,24092,5.5,73.2,72.1,84,"Arab States","Islam"
"Brazil",29.1,25.4,198.4,0.8,85,76,10152,7.2,73.8,2021.3,85,"Latin America and the Caribbean","Christianity"
"Jamaica",27,24.5,2.8,0.4,87,69.7,6701,9.6,73.3,19.2,86,"Latin America and the Caribbean","Christianity"
"Armenia",32.1,30.3,3.1,0.3,59,33.2,5540,10.8,74.4,15.8,87,"Arab States","Christianity"
"Saint Lucia",27.4,24,0.2,1,NA,55.9,7971,8.3,74.8,1.4,88,"Latin America and the Caribbean","Christianity"
"Ecuador",25.5,22.6,14.9,1.3,83,80.6,7471,7.6,75.8,109.2,89,"Latin America and the Caribbean","Christianity"
"Turkey",28.3,24.5,74.5,1.1,68,30.5,13710,6.5,74.2,991.7,90,"Europe and Central Asia","Islam"
"Colombia",26.8,23.8,47.6,1.3,88,68.1,8711,7.3,73.9,415.8,91,"Latin America and the Caribbean","Christianity"
"Sri Lanka",30.7,27.8,21.2,0.8,75,22.1,5170,9.3,75.1,102.9,92,"East Asia and the Pacific","Buddhism"
"Algeria",26.2,21.7,36.5,1.4,74,6.1,7418,7.6,73.4,275,93,"Arab States","Islam"
"Tunisia",28.9,24.7,10.7,1,46,4.4,8103,6.5,74.7,88.1,94,"Arab States","Islam"
"Tonga",21.3,19.9,0.1,0.4,90,18,4153,10.3,72.5,0.4,95,"East Asia and the Pacific","Christianity"
"Belize",21.8,18.8,0.3,2,79,70.8,5327,8,76.3,2.1,96,"Latin America and the Caribbean","Christianity"
"Dominican Republic",25.1,22.7,10.2,1.2,109,103.6,8506,7.2,73.6,87,97,"Latin America and the Caribbean","Christianity"
"Fiji",26.4,22.1,0.9,0.8,NA,42.8,4087,10.7,69.4,3.6,98,"East Asia and the Pacific","Christianity"
"Samoa",20.9,19.7,0.2,0.5,NA,25.5,3928,10.3,72.7,0.7,99,"East Asia and the Pacific","Christianity"
"Jordan",20.7,19.4,6.5,1.9,99,23.7,5272,8.6,73.5,32.6,100,"Arab States","Islam"
"China",34.5,29.7,1353.6,0.4,35,9.1,7945,7.5,73.7,9970.6,101,"East Asia and the Pacific","Buddhism"
"Turkmenistan",24.5,21.6,5.2,1.2,NA,16.9,7782,9.9,65.2,41.1,102,"Europe and Central Asia","Islam"
