"Name","MedianAge","MedianAge2000","Population","AnnualPopulationGrowth","GenderInequalityIndex","AdolescentFertilityRate","GrossNationalIncomePerCapita","MeanYearsSchooling","LifeExpectancyAtBirth","GDP","number","continent"
"Norway",38.7,36.9,5,0.7,5,7.4,48688,12.6,81.3,232.7,"1","Europe and Central Asia"
"Australia",36.9,35.4,22.9,1.3,17,12.5,34340,12,82,781.5,"2","East Asia and the Pacific"
"United States",36.9,35.3,315.8,0.9,42,27.4,43480,13.3,78.7,13238.3,"3","North America"
"Netherlands",40.7,37.3,16.7,0.3,1,4.3,37282,11.6,80.8,621.9,"4","Europe and Central Asia"
"Germany",44.3,39.9,82,-0.2,6,6.8,35431,12.2,80.6,2814.4,"5","Europe and Central Asia"
"New Zealand",36.6,34.3,4.5,1,31,18.6,24358,12.5,80.8,108.4,"6","East Asia and the Pacific"
"Ireland",34.7,32.5,4.6,1.1,19,8.8,28671,11.6,80.7,159.9,"7","Europe and Central Asia"
"Sweden",40.7,39.4,9.5,0.6,2,6.5,36143,11.7,81.6,331.3,"8","Europe and Central Asia"
"Switzerland",41.4,38.6,7.7,0.4,3,3.9,40527,11,82.5,300.3,"9","Europe and Central Asia"
"Japan",44.7,41.3,126.4,-0.1,21,6,32545,11.6,83.6,3918.9,"10","East Asia and the Pacific"
"Canada",39.9,36.8,34.7,0.9,18,11.3,35369,12.3,81.1,1231.6,"11","North America"
"Korea (Republic of)",37.9,32.1,48.6,0.4,27,5.8,28231,11.6,80.7,1371,"12","East Asia and the Pacific"
"Hong Kong, China (SAR)",41.8,36.5,7.2,1,NA,4.2,45598,10,83,310,"13","East Asia and the Pacific"
"Iceland",34.8,32.8,0.3,1.2,10,11.6,29176,10.4,81.9,10.7,"14","Europe and Central Asia"
"Denmark",40.6,38.4,5.6,0.3,3,5.1,33518,11.4,79,180.6,"15","Europe and Central Asia"
"Israel",30.1,28,7.7,1.7,25,14,26224,11.9,81.9,207.5,"16","Arab States"
"Belgium",41.2,39.1,10.8,0.3,12,11.2,33429,10.9,80,364.7,"17","Europe and Central Asia"
"Austria",41.8,38.2,8.4,0.2,14,9.7,36438,10.8,81,306.1,"18","Europe and Central Asia"
